,model,accuracy,recall,f1_score,support,falso_precision,falso_recall,falso_f1_score,verdadeiro_precision,verdadeiro_recall,verdadeiro_f1_score
0,sgd_count,0.6086350974930362,0.5,0.37835497835497833,2872,0.6086350974930362,1.0,0.7567099567099567,0.0,0.0,0.0
1,sgd_contains,0.4174791086350975,0.5020796517830239,0.3678119678294144,2872,0.6175548589341693,0.11270022883295194,0.19061441702951137,0.39247943595769685,0.891459074733096,0.5450095186293175
2,multinomial_count,0.608983286908078,0.5004448398576512,0.379325779990859,2872,0.6088470916057123,1.0,0.7568737822039402,1.0,0.0008896797153024911,0.0017777777777777779
3,multinomial_contains,0.608983286908078,0.5004448398576512,0.379325779990859,2872,0.6088470916057123,1.0,0.7568737822039402,1.0,0.0008896797153024911,0.0017777777777777779
4,percep_count,0.6034122562674095,0.49761496616366846,0.3860003082003633,2872,0.6074832333215673,0.9845537757437071,0.751364330932111,0.3076923076923077,0.010676156583629894,0.02063628546861565
5,percep_contains,0.3896239554317549,0.48713628997451075,0.30825693695342465,2872,0.48201438848920863,0.03832951945080092,0.07101218865924748,0.384924990852543,0.9359430604982206,0.5455016852476018
6,bernouli_count,0.838091922005571,0.7963254395465688,0.8131668751870282,2872,0.7952139898757478,0.988558352402746,0.881407804131599,0.9713876967095851,0.6040925266903915,0.7449259462424576
7,benouli_contains,0.838091922005571,0.7963254395465688,0.8131668751870282,2872,0.7952139898757478,0.988558352402746,0.881407804131599,0.9713876967095851,0.6040925266903915,0.7449259462424576
8,passive_count,0.6013231197771588,0.49732790703355945,0.39206076212586843,2872,0.6073335706657174,0.9759725400457666,0.7487382049594032,0.3333333333333333,0.018683274021352312,0.035383319292333605
9,passive_contains,0.6187325905292479,0.5163939265617238,0.4221974553714394,2872,0.61664880314398,0.9874141876430206,0.7591818781614251,0.6986301369863014,0.045373665480427046,0.08521303258145362
10,keras_count,0.8857938718662952,0.8761655415034568,0.879137420215373,2872,0.8948832035595106,0.9204805491990846,0.9075014100394811,0.8705772811918063,0.8318505338078291,0.8507734303912647
11,keras_contains,0.8871866295264624,0.8765157129245829,0.8803185578466477,2872,0.8929359823399559,0.9256292906178489,0.9089887640449439,0.8773584905660378,0.8274021352313167,0.8516483516483516
12,keras_count_val,0.8850974930362117,0.8797222244843115,0.8794809348543945,2872,0.9065366972477065,0.9044622425629291,0.9054982817869416,0.8519503546099291,0.854982206405694,0.8534635879218474
13,keras_contains_val,0.8704735376044568,0.8588157691148807,0.862539248437139,2872,0.8792723263506064,0.9124713958810069,0.8955642897248737,0.8553875236294896,0.8051601423487544,0.8295142071494043
